STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
42,001,030700,42001030700,6494,2561,P,81878611,81293976,42,001,030700,42001030700,6493,2561,P,81705898,81268436,81373351,80964156,99.38,99.59,99.59,99.63,6486,99.88,99.89,2557,99.84,99.84
42,001,030700,42001030700,6494,2561,P,81878611,81293976,42,001,030800,42001030800,7451,3052,P,58725394,58214226,15192,0,0.02,0.00,0.03,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030700,42001030700,6494,2561,P,81878611,81293976,42,001,030900,42001030900,7300,2890,P,26807581,26163685,140413,0,0.17,0.00,0.52,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030700,42001030700,6494,2561,P,81878611,81293976,42,001,031000,42001031000,1781,669,P,8056367,8010121,14479,0,0.02,0.00,0.18,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030700,42001030700,6494,2561,P,81878611,81293976,42,001,031201,42001031201,3670,1543,P,67930024,67345447,5524,5524,0.01,0.01,0.01,0.01,7,0.11,0.19,3,0.12,0.19
42,001,030800,42001030800,7451,3052,P,58311008,58205140,42,001,030700,42001030700,6493,2561,P,81705898,81268436,178,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030800,42001030800,7451,3052,P,58311008,58205140,42,001,030800,42001030800,7451,3052,P,58725394,58214226,58310830,58205140,100.00,100.00,99.29,99.98,7451,100.00,100.00,3052,100.00,100.00
42,001,030900,42001030900,7300,2890,P,26725153,26219297,42,001,030700,42001030700,6493,2561,P,81705898,81268436,48783,46477,0.18,0.18,0.06,0.06,0,0.00,0.00,0,0.00,0.00
42,001,030900,42001030900,7300,2890,P,26725153,26219297,42,001,030800,42001030800,7451,3052,P,58725394,58214226,9086,9086,0.03,0.03,0.02,0.02,0,0.00,0.00,0,0.00,0.00
42,001,030900,42001030900,7300,2890,P,26725153,26219297,42,001,030900,42001030900,7300,2890,P,26807581,26163685,26667168,26163685,99.78,99.79,99.48,100.00,7300,100.00,100.00,2890,100.00,100.00
42,001,030900,42001030900,7300,2890,P,26725153,26219297,42,001,031000,42001031000,1781,669,P,8056367,8010121,116,49,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
